PubChem CID,Ligand SMILES
137539627,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccc(F)c(F)c2)c2sccc2n1)c1cncc(F)c1
137539632,C[C@H](Nc1nc(C(=O)N2CC[C@@H](O)C2)c2sccc2n1)c1cccnc1
137539644,C[C@H](Nc1nc(C(=O)N2CC(F)(F)C2)c2sccc2n1)c1ccccn1
137539649,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2cc(C)oc2C)c2sccc2n1)c1cncc(F)c1
137539653,CNc1cc2nc(NCc3ccccn3)nc(C(=O)N3CCCC3)c2s1
137539654,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccccc2F)c2sccc2n1)c1cncc(F)c1
137539655,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)NC(C)(C)C)c2sccc2n1)c1cncc(F)c1
137539656,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CC[C@@H](F)C3)c2s1
137539657,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)CCC2CCOCC2)c2sccc2n1)c1cncc(F)c1
137539674,COC[C@@H](Nc1nc(C(=O)N2CCC2)c2sccc2n1)c1cccnc1
137539689,C[C@H](Nc1nc(C(=O)N2CC(CNC(=O)OC(C)(C)C)C2)c2sc(C)cc2n1)c1ccccn1
137539697,CNc1cc2nc(N[C@@H](C)c3ccccn3)nc(C(=O)N3CC(O)C3)c2s1
137539709,COC1CN(C1)C(=O)c1nc(N[C@@H](C)c2ccccn2)nc2cc(C)sc12
137539717,C[C@H](Nc1nc(C(=O)N2CC(CN)C2)c2sccc2n1)c1cncc(F)c1
137539728,C[C@H](Nc1nc(C(=O)N2CCC2C)c2sccc2n1)c1cncc(F)c1
137539730,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CC2)c2sccc2n1)c1cncc(F)c1
137539740,C[C@H](Nc1nc(C(N)=O)c2sc(C)cc2n1)c1ccccn1
