PubChem CID,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q4KLH9,Q8BUD0,Q9H3N8,Q9QYN8,Q9Y5N1,Q01959,Q60613,Q95136
142540164,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
142540173,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
142540184,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
142540187,75,,,,,,,,,,,30,10,30,,,,,,,,,,,,,,,,,
142540208,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
142540213,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540223,500,,,,,,,,,,,500,10,500,,,,,,,,,,,,,,,,,
142540225,500,,,,,,,,,,,75,30,500,,,,,,,,,,,,,,,,,
142540238,10,,,,,,,,,,,30,10,10,,,,,,,,,,,,,,,,,
142540244,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540248,75,,,,,,,,,,,300,30,75,,,,,,,,,,,,,,,,,
142540251,75,,,,,,,,,,,300,10,75,,,,,,,,,,,,,,,,,
142540253,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
142540265,500,,,,,,,,,,,300,75,500,,,,,,,,,,,,,,,,,
142540362,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
142540368,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
142540381,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
142540385,75,,,,,,,,,,,75,10,75,,,,,,,,,,,,,,,,,
142540387,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540389,75,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
142540399,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
142540419,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
142540438,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540473,500,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
142540480,300,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
142540499,75,,,,,,,,,,,300,10,75,,,,,,,,,,,,,,,,,
